City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
238,Karratha,AU,88.09,clear sky,-20.7377,116.8463,ibis Styles Karratha
239,Butaritari,KI,81.73,light rain,3.0707,172.7902,Isles Sunset Lodge
246,Vao,NC,75.88,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
249,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
251,Buala,SB,85.35,light rain,-8.145,159.5921,Maringe Lagoon Lodge
255,Port Augusta,AU,79.02,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
256,Saquarema,BR,76.14,overcast clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
260,Itaituba,BR,80.76,few clouds,-4.2761,-55.9836,Hotel Campos
266,Salalah,OM,80.69,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
269,Port Blair,IN,78.84,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
275,Ibra,OM,76.24,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
276,Songkhla,TH,81.84,overcast clouds,6.8333,100.6667,ร้านโรตี เมือง. โรตีสาวน้อยใกล้ปั้มปตท
281,Grand-Lahou,CI,80.65,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
285,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
288,Sangre Grande,TT,77.18,scattered clouds,10.5835,-61.1177,Lotus drive
295,Touros,BR,78.85,clear sky,-5.1989,-35.4608,INN NEW HORIZON
299,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
302,Padang,ID,78.85,broken clouds,-0.9492,100.3543,Mercure Padang
303,Cap Malheureux,MU,79.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
307,Kavieng,PG,85.62,broken clouds,-2.5744,150.7967,Nusa Island Retreat
311,Buraydah,SA,77.45,overcast clouds,26.326,43.975,Mövenpick Qassim
313,Aden,YE,81.63,clear sky,12.7794,45.0367,Sama Emirate Hotel
316,Bargur,IN,75.56,overcast clouds,12.5424,78.3539,VP's Kitchen Smoke N Grill
319,Camocim,BR,77.32,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
320,Qui Nhon,VN,79.57,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
321,Burpengary,AU,77.02,scattered clouds,-27.1575,152.9576,Homestay Experience
327,Pandan,PH,82.29,broken clouds,14.0453,124.1694,Bonifacio Lodge
335,Luganville,VU,85.05,few clouds,-15.5333,167.1667,The Espiritu Hotel
342,Sattahip,TH,89.98,haze,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
344,Bonthe,SL,77.74,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
345,Axim,GH,79.95,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
349,Yako,BF,88.25,overcast clouds,12.9667,-2.2667,CADAAY
350,Luanda,AO,77.0,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
352,San Policarpo,PH,79.32,broken clouds,12.1791,125.5072,Agapita M. Nicart
358,Bansbaria,IN,82.29,clear sky,22.9719,88.3994,The Kalyani Guest House
360,Jobner,IN,80.02,clear sky,26.9667,75.3833,Srk Jobner Hostel
361,Port Hedland,AU,86.05,few clouds,-20.3167,118.5667,The Esplanade Hotel
363,Lao Cai,VN,78.94,broken clouds,22.4833,103.95,Legend Hotel
364,Gladstone,AU,78.78,scattered clouds,-23.85,151.25,Highpoint International Hotel
365,Mangrol,IN,77.77,clear sky,21.1167,70.1167,Hotel The Royal Honours
366,Hobyo,SO,81.39,few clouds,5.3505,48.5268,Iftin hotel hobyo
370,Corn Island,NI,81.25,clear sky,12.1694,-83.0418,Big Fish Guest House
374,Quelimane,MZ,78.75,few clouds,-17.8786,36.8883,Hotel Flamingo
379,Goodyear,US,76.93,clear sky,33.4353,-112.3582,Best Western Phoenix Goodyear Inn
384,Meulaboh,ID,78.08,overcast clouds,4.1363,96.1285,Kost Pria
385,Tabou,CI,76.66,overcast clouds,4.423,-7.3528,hotêl doufoulougou
386,Selaphum,TH,89.01,overcast clouds,16.0299,103.9383,ศิวิไลซ์โปรเจคท์
387,Caucaia,BR,82.35,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
390,Lingao,CN,78.21,clear sky,19.9103,109.6859,Lingao Ditai Inn
391,The Valley,AI,78.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
403,Naifaru,MV,83.35,broken clouds,5.4444,73.3657,Naifaru Residence Guest House
410,Balabac,PH,82.71,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
411,Namibe,AO,76.35,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
414,Inhambane,MZ,75.78,scattered clouds,-23.865,35.3833,Oceano
416,Cockburn Town,TC,76.96,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
